img,Bmean,Gmean,Rmean,Bstd,Gstd,Rstd,crc,ira,irb,irc,ird,c_bb,c_bg,c_br,c_gg,c_gr,c_rr,adhocb1,adhocg1,adhocr1,adhocb2,adhocg2,adhocr2,class
ISIC_0029756,150.8766,149.5655,170.8167,19.1919,13.0742,10.8335,0.292025987,0.060237914,4.773170909,2.976718877,57.45575316,2008.752108,1956.741644,1910.74134,2040.805535,2074.582103,2195.919573,0.535942331,0.436109013,0.469828872,0.511662922,0.517357163,0.587818947,NV
ISIC_0031814,128.6701,134.4231,178.4364,17.972,16.343,14.559,0.425498782,0.045978658,4.142366554,1.932648038,49.30511162,2364.570216,2454.122512,2965.138156,2571.823061,3122.635078,3861.71655,0.413461495,0.373394596,0.442047424,0.255405437,0.257123274,0.331210629,NV
ISIC_0030484,107.7326,104.8828,199.0506,13.3704,11.5132,8.2341,0.293797163,0.031573547,4.068506677,4.032454546,165.6595811,807.04121,822.4084424,923.185633,911.8564596,1038.69376,1371.587721,0.584863373,0.536767547,0.748095597,0.658006254,0.632418441,0.798851167,NV
ISIC_0029626,107.231,110.906,212.8546,10.4127,9.2042,6.4695,0.251700971,0.031622613,4.812944424,4.145448508,151.7181609,665.1702782,655.6941096,524.7067846,677.7157838,540.4107861,469.5224382,0.535438596,0.535220905,0.796774966,0.692716427,0.704084584,0.888221137,NV
ISIC_0030402,111.3611,103.5475,192.9391,8.5077,8.8728,7.7032,0.259548694,0.029579273,5.196610654,2.7485077,108.907981,432.2772968,481.2531668,581.6784904,570.9562792,697.2288707,924.0564651,0.683129819,0.541569204,0.697209208,0.707985051,0.622027793,0.770270125,NV
ISIC_0031480,105.2584,110.4708,210.509,9.211,8.2673,6.0867,0.205497353,0.025745581,5.486909441,4.877235065,203.6072087,280.6373991,259.5985278,158.2308719,264.4687961,162.6244617,121.5969764,0.881189866,0.877162717,0.958407748,0.822493773,0.84029374,0.953403361,NV
ISIC_0029940,89.6733,92.8872,192.1475,11.2195,9.9738,6.2488,0.198925503,0.024284313,4.850712501,14.2483567,399.8714427,538.4502319,530.1913531,419.6640076,546.6231979,432.9176458,376.9475884,0.853765974,0.828881014,0.946779416,0.78245419,0.783645712,0.929450216,NV
ISIC_0028000,106.847,122.3547,220.0517,14.5876,12.5773,8.6018,0.329192021,0.042773569,4.700991629,1.955724789,55.74720024,831.4969302,969.8255455,813.3385518,1177.053302,1014.409546,954.0440733,0.525041938,0.435925222,0.72373705,0.573363502,0.574396095,0.815810232,NV
ISIC_0028475,69.9892,73.6624,182.0432,9.6215,9.8798,7.6144,0.293455854,0.030528035,5.08880351,1.579830438,65.26884531,350.5340776,371.5550429,468.8115139,407.1564881,510.8232642,693.9346395,0.457678622,0.405496484,0.699910478,0.533978384,0.525390178,0.780018005,NV
ISIC_0033958,149.4855,130.2004,196.2586,21.8063,19.3101,13.3212,0.348790828,0.023083411,4.623160902,1.70972717,91.09836672,1223.563931,1206.552017,1276.087003,1264.420113,1387.359942,1874.079499,0.732000719,0.552234806,0.591815606,0.573057875,0.474068255,0.669096428,NV
ISIC_0029887,116.6976,115.6079,224.6504,12.0982,10.0052,6.4807,0.277394658,0.038567674,4.756663266,3.497036912,104.572434,615.6620344,602.3533545,407.0151589,609.0671256,411.1650858,291.7785752,0.604171403,0.563778253,0.857512133,0.71812112,0.721435772,0.905060263,NV
ISIC_0025920,84.9969,96.4534,201.7508,10.5777,10.5107,7.8222,0.277263218,0.038651804,4.474195052,2.942932265,103.9339017,569.9538601,688.0878938,807.0811694,859.3161592,1024.692944,1347.083155,0.439669954,0.355065754,0.583930952,0.662106192,0.644491524,0.813221712,NV
ISIC_0027694,98.0975,109.3286,215.2232,11.8657,12.0092,8.2648,0.262952917,0.025166072,4.729888497,6.091999693,225.8926684,471.5015613,533.4106778,437.6303544,627.2462563,516.5350246,445.2711148,0.901056623,0.888593985,0.975660975,0.796658834,0.773639266,0.915486259,NV
ISIC_0026445,153.2156,150.1964,207.3171,23.9418,19.9943,10.9038,0.30335597,0.038913067,4.469956975,4.163631298,114.794007,2185.881972,2107.707315,1652.68222,2070.636199,1654.74111,1389.420165,0.59266648,0.555760425,0.782833648,0.517890773,0.513033062,0.742959762,NV
ISIC_0028161,128.8683,129.4324,214.6894,12.9862,11.0654,8.0821,0.257767037,0.031517573,4.366674149,4.803919555,185.4628708,798.8953665,818.1510873,597.9984976,879.3436118,657.7165038,532.2196446,0.658030729,0.590326893,0.809174788,0.774513594,0.752341394,0.884859614,NV
ISIC_0033683,116.3101,108.0421,163.0202,13.0925,10.3505,9.9519,0.296125536,0.020139812,4.874529871,1.829077826,117.8824693,961.6500191,934.7795667,994.4434902,950.6110735,1039.646493,1322.279947,0.578277453,0.462165139,0.538302826,0.478853612,0.451364362,0.63624226,NV
ISIC_0032176,143.7423,142.6775,192.3962,23.6948,17.2072,10.9961,0.228420351,0.048746759,4.50566049,8.995819849,166.8053582,2456.732952,2128.493713,1485.85697,1900.932349,1356.458863,1007.72872,0.564599401,0.642759175,0.8748674,0.686687708,0.702870695,0.855479718,NV
ISIC_0032667,106.369,98.9938,139.5655,15.3815,14.2673,13.8605,0.242577244,0.043953584,3.688967438,7.328561061,212.4100185,817.1589123,816.3025212,897.9302657,876.0752239,981.0300209,1228.974599,0.974641632,0.902758166,0.814805674,0.832423796,0.760025945,0.768781493,NV
ISIC_0029979,79.0041,90.5299,193.2046,11.4384,11.7974,9.5088,0.328049746,0.036956444,4.389672882,2.392151625,83.24722279,545.7749007,649.3133188,739.8515914,811.5621986,929.7670192,1142.672723,0.441347998,0.318298323,0.651829572,0.529389613,0.475862999,0.741494664,NV
ISIC_0032102,131.1099,136.1362,187.0014,19.5396,20.128,13.9509,0.349988421,0.01762618,4.200841206,2.389985044,175.7506051,1336.198058,1327.509125,829.3219233,1404.81623,877.1689443,619.8175729,0.52306402,0.542621886,0.826214701,0.663270455,0.639974888,0.83527057,NV
ISIC_0033339,160.0854,134.3098,170.4473,18.4146,18.8925,14.325,0.442895117,0.037711248,4.034622755,2.08993559,63.60233098,1722.084855,1681.593525,1947.111796,1664.074807,1909.872267,2278.528755,0.535191639,0.436674336,0.486137877,0.545503673,0.445094434,0.49741555,NV
ISIC_0025055,100.1782,100.4509,196.834,13.1107,11.5326,7.135,0.383819996,0.02304484,4.39478967,1.650007819,88.19713867,557.5603853,586.0135732,615.8771156,643.4186239,671.8409132,756.4881391,0.617456919,0.555409068,0.80780427,0.526644456,0.481610296,0.749565841,NV
ISIC_0031322,143.0565,133.0431,186.3327,17.3584,12.8409,7.9316,0.278588672,0.056638679,4.411885464,3.392036104,78.42172818,1627.302028,1316.436531,796.9118999,1117.969279,672.1563592,422.8190346,0.54762447,0.546196826,0.832692713,0.680317199,0.718892475,0.879677333,NV
ISIC_0025772,96.37,83.4231,175.4864,8.5571,8.4278,7.5754,0.255018814,0.038002522,4.584229969,5.987703183,160.1195869,385.6171844,372.8064876,427.3658659,386.3520116,428.3661002,555.3679643,0.715169784,0.624433214,0.818056401,0.755462458,0.716819196,0.853240491,NV
ISIC_0027644,120.875,142.6939,171.6455,20.0408,11.511,8.2247,0.348114727,0.057820608,4.253271421,3.451019432,65.71677256,1523.033443,1087.300957,774.5125566,816.8020895,581.6457885,418.0624167,0.512787558,0.68654474,0.826778673,0.530308329,0.719049678,0.831933034,NV
ISIC_0031889,124.5396,140.2398,185.2847,20.2245,15.9234,8.6879,0.293704214,0.035996728,4.385466021,5.410327674,149.61827,1090.318955,957.3597925,617.1507345,857.8437413,560.0866124,379.9069674,0.752934342,0.818259442,0.927202916,0.71301727,0.773046118,0.894133107,NV
ISIC_0032950,163.7312,153.4612,196.3203,21.3406,17.0705,8.7109,0.275365962,0.045795209,4.222007011,6.184658639,140.1988723,1836.248994,1483.733257,820.0740648,1222.680114,676.8069099,397.6061418,0.607970217,0.6716058,0.882439592,0.683420062,0.726660638,0.886323667,NV
ISIC_0031107,128.7676,134.218,165.3231,10.6636,7.1878,4.411,0.329970067,0.068215159,4.576846537,1.883633446,35.54671371,480.5796384,387.3789153,259.84533,321.6917516,218.1203105,153.3536774,0.752458642,0.787139132,0.878719988,0.74412862,0.806956997,0.898297524,NV
ISIC_0029628,102.8367,94.7274,195.4336,9.4877,9.3213,5.6083,0.334143592,0.039236566,4.498892281,2.236905439,70.71613289,306.9963488,343.3118245,311.6498888,420.7940944,376.0458892,365.7352909,0.761545237,0.624212351,0.833976458,0.735695425,0.665357101,0.85742693,NV
ISIC_0033527,138.8013,124.4896,166.5006,20.8005,15.7514,8.4938,0.345150259,0.040887582,4.250450101,2.077061571,68.73398126,1381.736639,1111.968742,678.4064291,917.7469869,565.3650309,365.9685443,0.577861764,0.59513737,0.819555703,0.650844105,0.678734513,0.856642537,NV
